SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,195,,,,N,0,,,
'10010003,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,200,,,,N,0,,,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,200,,,,N,0,,,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,205,,,,N,0,,,
'16000006,FISH NUGGET (1x24 PCS),นักเกตปลา(1x24 ชิ้น),BAG,,,220,,,,N,0,,,
'16010017,BUN WITH TARO PASTE (1x20P),ซาลาเปาเผือก (1x20ชิ้น),PACK,,,220,,,,N,0,,,
'10050046,PORK MEAT BALLS(HAMPRANG),ลูกชิ้นหมูฮัมเพล้ง,KG,,,235,,,,N,0,,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,235,,,,N,0,,,
'10010009,PORK NECK,คอหมู,KG,,,270,,,,N,0,,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,265,,,,N,0,,,
'17030001,SKINED DUCK MEAT BB2 1 KG.,อกเป็ดเนื้อติดหนัง BB2 1 กก.,KG,,,280,,,,N,0,,,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,,290,,,,N,0,,,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,,290,,,,N,0,,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,320,,,,N,0,,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,320,,,,N,0,,,
'17010001,หมูปิ้งนมสดแช่แข็ง 25ก.(1x40)/(866771),หมูปิ้งนมสดแช่แข็ง 25ก.(1x40)/(866771),PACK,,,340,,,,N,0,,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,370,,,,N,0,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,580,,,,N,0,,,
'10040001,LAMB CHOP 8 RIB AUS,ซี่โครงแกะ 8 ซี่ แบบแต่งปลายออสเตรเลีย,KG,,,980,,,,N,0,,,
