StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1FD01,FD140521,CHEESE COTTAGE 1KG/BTL PANEER,CHEESE COTTAGE 1KG/BTL PANEER,KG,0.0000
1FD01,FD140522,CHEESE CREAM ANCHOR 1KG.(142554),ครีมชีสแองคอร์ 1 กก.(142554),KG,0.0000
1FD01,FD140523,CHEESE CREAM PHILADELPHIA 2 KG. (15093),ครีมชีสฟิลาเดเฟีย 2 กก.(15093),KG,0.0000
1FD01,FD140524,MUSTARD DIJON 1KG.(PC001),MUSTARD DIJON 1KG.(PC001),KG,0.0000
1FD01,FD140525,DUCK EGG,ไข่เป็ด,PCS,0.0000
1FD01,FD140526,CHEESE DUTCH EMMENTHAL (55E01),ชีสแท่ง DUTCH EMMENTHAL(55E01),KG,0.0000
1FD01,FD140527,CHEESE EDAM BLOCK 2.8-3.2 KG.,อีดัมชีสบล็อก 2.8-3.2 กก.,KG,0.0000
1FD01,FD140528,CHEESE EDAM LOAF QUALITY COW 3KG.,EDAM LOAF QUALITY COW 3KG.,KG,0.0000
1FD01,FD140529,EGG SALTED,ไข่เค็มดิบ,PCS,0.0000
1FD01,FD140530,EMMENTAL VALMARTIM 3KG.(44ENT),EMMENTAL VALMARTIM 3KG.(44ENT),KG,0.0000
1FD01,FD140531,ICE CREAM PASSIONFRUIT SORBET ETE 100G.(1x12 PCS),ICE CREAM PASSIONFRUIT SORBET ETE 100G.(1x12 PCS),PCS,0.0000
1FD01,FD140532,ICE CREAM POPSICLE DURIAN THAI FRUIT ETE(1x30 PCS),ICE CREAM POPSICLE DURIAN THAI FRUIT ETE(1x30 PCS),PCS,0.0000
1FD01,FD140533,ICE CREAM POPSICLE MANGO THAI FRUIT ETE(1x30 PCS),ICE CREAM POPSICLE MANGO THAI FRUIT ETE(1x30 PCS),PCS,0.0000
1FD01,FD140534,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),G,0.0000
1FD01,FD140535,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),G,0.0000
1FD01,FD140536,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),G,0.0000
1FD01,FD140537,MILK FLAVOURED FALCON 375ML.(1x6)/(104517),นมข้นจืดนกเหยี่ยว 375 มล.(1x6)(104517),ML,0.0000
1FD01,FD140538,MILK FRESH 2L.(107753),นมสด 2 ลิตร(107753),LTR,0.0000
1FD01,FD140539,MILK FRESH MEIJI  2L.(364143),นมสดพร่องมันเนยรสจืดเมจิ 2 ลิตร(364143),LTR,0.0000
1FD01,FD140540,GLACE PICOT IMPERIAL 1KG.,กลาเซ่พีคอทเจลอิมพีเรียล 1 กก.,KG,0.0000
1FD01,FD140541,CHEESE GOUDA WHEEL 4-5 KG.(9040801),CHEESE GOUDA WHEEL 4-5 KG.(9040801),KG,0.0000
1FD01,FD140542,ICE CREAM CUP01-MADAGASCAR VANILA BEANS 100G.(1*12),ICE CREAM CUP01-MADAGASCAR VANILA BEANS 100G.(1*12),PCS,0.0000
1FD01,FD140543,ICE CREAM CUP02-DARK72%BELGIAN CHOCOLAT100G.(1*12),ICE CREAM CUP02-DARK72%BELGIAN CHOCOLATE 100G.(1*12),PCS,0.0000
1FD01,FD140544,ICE CREAM CUP04-SENGA STRAWBERRY 100G.(1*12),ICE CREAM CUP04-SENGA STRAWBERRY 100G.(1*12),PCS,0.0000
1FD01,FD140545,ICE CREAM CUP05-NAMDOKMAI MANGO 100G.(1*12),ICE CREAM CUP05-NAMDOKMAI MANGO 100G.(1*12),PCS,0.0000
1FD01,FD140546,ICE CREAM CUP10-YOUNG COCONUT 100G.(1*12),ICE CREAM CUP10-YOUNG COCONUT 100G.(1*12),PCS,0.0000
1FD01,FD140547,ICE CREAM DOLCE LATTE VANILLA 3.6 KG.,ICE CREAM DOLCE LATTE VANILLA 3.6 KG.,KG,0.0000
1FD01,FD140548,MARGARINE BLUE BAND BEST FOODS 1KG.(866196),มาร์การีน-บลูแบนด์เบสฟู้ดส์ 1 กก.(866196),KG,0.0000
1FD01,FD140549,MARGARINE BLUEBAND 2KG.(866198),มาการีน-บลูแบนด์เบสฟู้ดส์ 2 กก.(866198),KG,0.0000
1FD01,FD140550,MARGARINE BUTTER ZEST GOLD 2KG.(840669),มาการีน-เนยสดเซสท์โกลด์ 2 กก.(840669),KG,0.0000
1FD01,FD140551,MARGARINE SAMSON 1KG.(149505),มาการีน-เเซมซั่น 1 กก.(149505),KG,0.0000
1FD01,FD140552,MILK CHOCOLATE 300ML.,นมรสช็อกโกแลต 300 มล.,BTL,0.0000
1FD01,FD140553,MILK CHOCOLATE FLAVOURED MEIJI 830ML.(298142),นมพาสเจอร์ไรซ์รสช็อกโกแลตเมจิ 830 มล. (298142),BTL,0.0000
1FD01,FD140554,MILK CHOCOLATE MALT MAGNOLIA 800ML. (175830),นมพาสเจอร์ไรซ์รสช๊อกโกแลต 175830,BTL,0.0000
1FD01,FD140555,MILK NO SUGAR ADDED TOFUSAN 830ML.(202206),น้ำนมถั่วเหลืองรสจืดโทฟุซัง 830มล.(202206),BTL,0.0000
1FD01,FD140556,MILK UHT FOREMOST 180ML.(1x36)/(807744),นมยูเอชทีรสจืดโฟร์โมสต์ 180มล.(1x36)/(807744),BOX,0.0000
1FD01,FD140557,CHEESE MOZZARELLA SHREDDED 1KG.,มอสซาเรลล่าชีสขูดเชรดเคต 1 กก.,KG,0.0000
1FD01,FD140558,CHEESE MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),KG,0.0000
1FD01,FD140559,CHEESE MOZZARELLA KOYLUM 2KG.(1x6),มอสซาเรลล่าแบบขูดคอยลัม 2 กก.(1x6),KG,0.0000
1FD01,FD140560,MUSTARD OIL 1L.,MUSTARD OIL 1L.,LTR,0.0000
1FD01,FD140561,NORMANDY ALL PURPOSE CREAM 35% 1L.(32005),NORMANDY ALL PURPOSE CREAM 35% 1L.(32005),LTR,0.0000
1FD01,FD140562,CHEESE CHEDDAR ORANGE 3KG.(37123),CHEESE CHEDDAR ORANGE 3KG.(37123),KG,0.0000
1FD01,FD140563,CHEESE PARMESAN ITALIAN BLOCK 2 กก.,พาร์มีซานชีสอิตาลีแท่ง 2 กก.,KG,0.0000
1FD01,FD140564,PLAIN YOGURT DUTCHIE 135G.(1x4)/(175058),โยเกิร์ตรสธรรมชาติดัชชี่ 135ก.(1x4)/(175058),PCS,0.0000
1FD01,FD140565,QUAIL EGG 50 PCS(132312),ไข่นกกระทาดิบ 50 ฟอง(132312),PCS,0.0000
