StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1AG01,31000033,BIO-Toothbrursh & Paste  3 G.,ชุด(แปรงสีฟัน+ยาสีฟัน 3ก.),SET,0
1AG01,31000034,TOOTHBRUSH & TOOTHPAST 5 G (1*500 PCS),ชุด(แปรงสีฟัน+ยาสีฟัน 5)(1*500 PCS),SET,0
1AG01,31000035,DRINKING STRAW COLORFUL 8MM.( 1*250 PCS ),หลอดดูดข้องอ คละสี 8มม. ( 1*250 ชิ้น ),PACK,0
1AG01,31000039,ลูกบาสเก็ตบอล FBT ซุปเปอร์สตาร์เบอร์ 7(คละสี),ลูกบาสเก็ตบอล FBT ซุปเปอร์สตาร์เบอร์ 7(คละสี),PCS,0
1AG01,31000040,ESSENTIAL OIL LAVENDER 100% 60 ML.,ESSENTIAL OIL LAVENDER 100% 60 ML.,BTL,0
1AG01,31000041,BALLOON  FANCY,ลูกโป่งแฟนซี(ระบุแบบ/สี),SET,0
1AG01,31000042,BATH SHOWER GEL 3.8 L.,ครีมอาบน้ำ3.8 ลิตร(ระบุกลิ่น),GAL,0
1AG01,31000043,KEY CARD GUEST ROOM,บัตรกุญแจประตูห้องพักแขก,PCS,0
1AG01,31000044,PRONG PHA LEAF,ใบโปร่งฟ้า,BUNDLE,0
1AG01,31000045,ALARM CLOCK,นาฬิกาปลุก,PCS,0
1AG01,31000046,Alcohol 70%   3800 CC,แอลกอฮอล์ 70%  3800 CC,GAL,0
1AG01,31000047,ANTODIEM ( SMALL ) FLOWER,ดอกหน้าวัว(เล็ก),PCS,0
1AG01,31000048,ART Mat Sheet 1*30P/BOX,แผ่นอาร์ตแม๊ตกำจัดยุง 1*30แผ่น/กล่อง,BOX,0
1AG01,31000049,BAAN MAI ROO RUAI FLOWER RED COLOUR,ดอกบานไม่รู้โรยสีแดง,BUNDLE,0
1AG01,31000050,BAIGON GREEN ไร้กลิ่น 600 ML.1*3(213452),ไบก่อนเขียวไร้กลิ่น 600 มล.1*3(213452),CAN,0
1AG01,31000051,BASKET,กระเช้า,SET,0
1AG01,31000052,BASKETBALL#7,ลูกบาสเก็ตบอลเบอร์7,PCS,0
