SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,145,,,,N,0,,,,,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,86,,,,N,0,,,,,,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,110,,,,N,0,,,,,,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,120,,,,N,0,,,,,,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,66,,,,N,0,,,,,,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,88,,,,N,0,,,,,,,
'10050046,PORK MEAT BALLS(HAMPRANG),ลูกชิ้นหมูฮัมเพล้ง,KG,,,225,,,,N,0,,,,,,,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,,225,,,,N,0,,,,,,,
'10050038,FISH BALL - PFP 500G.,ลูกชิ้นปลากลมสไตล์ภูเก็ต ยี่ห้อ PFP 500ก.(809866),PACK,,,225,,,,A,7,,,,,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,75,,,,N,0,,,,,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,75,,,,N,0,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,75,,,,N,0,,,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,90,,,,N,0,,,,,,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,225,,,,N,0,,,,,,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,110,,,,N,0,,,,,,,
'14020023,CHEESE MOZZARELLA SHREDDED 1KG.,มอสซาเรลล่าชีสขูดเชรดเคต 1 กก.,KG,,,265,,,,N,0,,,,,,,
'14020025,CHEESE MOZZARELLA KOYLUM 2KG.(1x6),มอสซาเรลล่าแบบขูดคอยลัม 2 กก.(1x6),BAG,,,265,,,,N,0,,,,,,,
'14020005,CHEESE PARMESAN BLOCK 2.3KG.,พาร์มีซานชีส(แท่ง) 2.3 กก.,KG,,,370,,,,N,0,,,,,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,185,,,,N,0,,,,,,,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,84,,,,N,0,,,,,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,108,,,,N,0,,,,,,,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,250,,,,N,0,,,,,,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,,220,,,,N,0,,,,,,,
