SKU#,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'15120029,ซอสมะขามเปียกเข้มข้น คนอร์ 1 กก.(1x9)/(144146),BAG,,,103,,,,A,7,,,,,,,
'15120021,น้ำมะขามเปียกพร้อมปรุง 1 กก.,KG,,,103,,,,A,7,,,,,,,
'15130031,ผงกะหรี่ปืนไขว้ 200ก.(184165),BTL,,,105,,,,A,7,,,,,,,
'15120050,ซอสเปรี้ยวลีแอนด์เพอร์รินส์ 150มล.(1x2)/(226185),BTL,,,110,,,,A,7,,,,,,,
'15070003,ซีเรียล-ฮันนี่สตาร์เนสท์เล่ 300ก.(175854),BOX,,,114,,,,A,7,,,,,,,
'15130024,ใบไทม์ เอลเอวิออน 200ก.(167127),BAG,,,117,,,,A,7,,,,,,,
'15120042,น้ำกะทิชาวเกาะ 250มล.(1x6)/(164908),BOX,,,120,,,,A,7,,,,,,,
'15120005,น้ำกะทิ อร่อยดี 250 มล.(1x6)/(147234),PACK,,,120,,,,A,7,,,,,,,
'15070015,ซีเรียล-โกโก้ป๊อปเคลล็อกซ์ 350/400ก.(197654),BOX,,,122,,,,A,7,,,,,,,
'15070014,ซีเรียล-ฟรุตลูปส์เคลล็อกส์  285ก.,BOX,,,122,,,,A,7,,,,,,,
'15080029,ผงโกโก้สีเข้ม ทิวลิป 500ก.(844709),BAG,,,123,,,,A,7,,,,,,,
'15000006,คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,,125,,,,A,7,,,,,,,
'15080016,สารเสริม KS505 อิมพีเรียล 1 กก.,BAG,,,140,,,,A,7,,,,,,,
'15070007,ซีเรียล-ออลบรานเคลล็อกส์  315ก.,BOX,,,140,,,,A,7,,,,,,,
14030011,สลัดครีมเบสท์ฟู้ดส์ 1 กก.(1x9)/(184315),BAG,,,145,,,,A,7,,,,,,,
'15120014,ซอสปรุงรสฝาเขียว ภูเขาทอง 3 ลิตร(902837),GAL,,,145,,,,A,7,,,,,,,
'15090003,น้ำตาลอีควอน์ 1ก.(1*100),PACK,,,145,,,,A,7,,,,,,,
14010020,น้ำสลัดเทาซันไอแลนด์เบสท์ฟู้ดส์1 กก.(1x9)/(184324),BAG,,,148,,,,A,7,,,,,,,
'15070010,ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 450/500ก.(182016),BOX,,,155,,,,A,7,,,,,,,
'15110002,น้ำมันงา ช้างคู่ 630มล.(132260),BTL,,,155,,,,A,7,,,,,,,
15130083,พริกไทยดำป่น 500ก.ตราไร่ทิพย์,BAG,,,160,THB,0,0,A,7,0,,,,,,
'15010177,กระเทียมดองแม่จินต์ 1800ก.(154533),BTL,,,160,,,,A,7,,,,,,,
'15120012,น้ำส้มสายชูไวน์แดง 1 ลิตร(12602),BTL,,,160,,,,A,7,,,,,,,
15130084,อบเชย(ไม้หอม) 500ก.ตราไร่ทิพย์,BAG,,,165,,,,N,0,,,,,,,
'15120061,ซอสเปรี้ยวลีแอนด์เพอร์ริน 290มล.(1x2)/(226183),BTL,,,165,,,,A,7,,,,,,,
'15010098,เชอรี่กวนตราวิลเนอร์เดส 595ก.,CAN,,,175,,,,A,7,,,,,,,
'15120048,ซอสเปรี้ยวเอชพี 255ก.(1x2)/(226184),BTL,,,180,,,,A,7,,,,,,,
'15120052,ซอสมะเขือเทศ โรซ่า 5.5 กก.(109609),GAL,,,187,,,,A,7,,,,,,,
'15000003,เนสกาแฟซอง 2ก.(1*108/ถุง)/(899867),BAG,,,190,,,,A,7,,,,,,,
'15130001,อโรมาต คนอร์ 1 กก.(1x6)/(119006),BOX,,,196,,,,A,7,,,,,,,
'15120003,เหล้าจีน(ฉลากสีฟ้า)640 มล.,BTL,,,200,,,,A,7,,,,,,,
'15010096,แคเปอร์ในน้ำส้มสายชูตราซีส 245ก.(104942),BTL,,,200,,,,A,7,,,,,,,
'15070005,ซีเรียล-มูสลี่มัลติฟรุตฮาทเน่1 กก.(156524),BAG,,,205,,,,A,7,,,,,,,
