Vendor A003               Name  คุณอนันต์ผักสดฟาร์ม บจก.,,,Date From,,01/10/2023,Date To,15/10/2023      Reference #,
SKU #       Description                                            Unit,,,Rank,,Qty From,To,Price    Currency        Market Price Foc Co,
12010102,PARSLEY FRENCH : ผักชีฝรั ง/พาสเลย์     KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
12010106,SNOW PEA : ถั วลันเตา                           KG,,,1,0.00,0.00,125.00 THB,0.00 0.00
12010107,TAM LUNG : ตําลึง(เด็ด)                             KG,,,1,0.00,0.00,70.00 THB,0.00 0.00
12010109,TOMATO BIG BEEF : มะเขือเทศเนื อ        KG,,,1,0.00,0.00,48.00 THB,0.00 0.00
12010110,EGG PLANT SMALL ( SPLIT ) : มะเขือพว KG,,,1,0.00,0.00,98.00 THB,0.00 0.00
12010113,BAMBOO YELLOW FLAK : หน่อไมเ้ หลือ  KG,,,1,0.00,0.00,50.00 THB,0.00 0.00
12010114,CABBAGE WHITE : กะหล ําปลีขาว           KG,,,1,0.00,0.00,25.00 THB,0.00 0.00
12010115,CUCUMBER JAPANESE : แตงกวาญี ป่ ุน   KG,,,1,0.00,0.00,65.00 THB,0.00 0.00
12010116,ACAEIAL INSUAVIS : ชะอม                    BUNDLE,,,1,0.00,0.00,30.00 THB,0.00 0.00
12010118,BABY CARROT : เบบี เเครอท                  KG,,,1,0.00,0.00,95.00 THB,0.00 0.00
12010121,BAMBOO SHOOTS PICKLED KG. : หน่อ KG,,,1,0.00,0.00,38.00 THB,0.00 0.00
12010122,BEETROOT : บีทรูท                              KG,,,1,0.00,0.00,45.00 THB,0.00 0.00
12010123,BITTER CUCUMBER : มะระ                   KG,,,1,0.00,0.00,35.00 THB,0.00 0.00
12010124,BUTTER HEAD : บัตเตอร์เฮด                  KG,,,1,0.00,0.00,90.00 THB,0.00 0.00
12010136,JAPANESE PUMPKIN : ฟักทองญี ป่ ุน       KG,,,1,0.00,0.00,80.00 THB,0.00 0.00
