SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'13000026,JUICE FRESH ORANGE(VALENCIA) 5L.,น้ำผลไม้สด-ส้มวาเลนเซีย 5 ลิตร,GAL,,,160,,,,N,0,,,,,,,
'13000025,JUICE FRESH ORANGE #2 5L.,น้ำผลไม้สด-ส้มสายน้ำผึ้ง(#2) 5 ลิตร,GAL,,,160,,,,N,0,,,,,,,
'13000027,HERB FRESH ROSELLE 5L.,น้ำสมุนไพรสด-กระเจี๊ยบ 5 ลิตร,GAL,,,160,,,,N,0,,,,,,,
'14010002,BUTTER SALT ALLOWRIE 8G.(1x100),เนยเค็มตลับอลาวรี่ 8ก.(1x100),BOX,,,365,,,,N,0,,,,,,,
'14010003,BUTTER UN-SALT ALLOWRIE 8G.(1x100),เนยจืดตลับอลาวรี่ 8ก.(1x100),BOX,,,365,,,,N,0,,,,,,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,860,,,,N,0,,,,,,,
'14010009,BUTTER UNSALTED COMPOUND ALLOWRIE 5KG.(65650),เนยจืดอลาวรี่คอมพาวด์บัตเตอร์ 5กก.(65650),BOX,,,860,,,,N,0,,,,,,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,190,,,,N,0,,,,,,,
'17080004,เนื้อปลากะพงสไลซ์แช่แข็ง 10-15 ก. 1 กก.(821267),เนื้อปลากะพงสไลซ์แช่แข็ง10-15 ก. 1 กก.(821267),KG,,,180,,,,N,0,,,,,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,95,,,,N,0,,,,,,,
'17080008,FROZEN DORRY FISH FILLER,เนื้อปลาดอลลี่แช่แข็ง,KG,,,82,,,,N,0,,,,,,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,190,,,,N,0,,,,,,,
17000004,เนื้อสันนอก ออสเตรเลีย,เนื้อสันนอก ออสเตรเลีย,Kg,0,0,750,THB,0,0,N,0,,,,,,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,320,,,,N,0,,,,,,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,285,,,,N,0,,,,,,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,285,,,,N,0,,,,,,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,195,,,,N,0,,,,,,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,195,,,,N,0,,,,,,,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,195,,,,N,0,,,,,,,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,195,,,,N,0,,,,,,,
'17060005,FROZEN SPINACH ARO 1KG.(110002),ใบผักโขมแช่แข็งแบบกลม เอโร่ 1 กก.(110002),KG,,,80,,,,N,0,,,,,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,135,,,,N,0,,,,,,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,95,,,,N,0,,,,,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,,95,,,,N,0,,,,,,,
'10050054,ปลาเส้นทอดมหาชัย 700ก.(827687),ปลาเส้นทอดมหาชัย 70ก.(827687),BAG,,,120,,,,N,0,,,,,,,
