รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,178,,,,N,0,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,178,,,,N,0,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,178,,,,N,0,
'10010003,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,180,,,,N,0,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,180,,,,N,0,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,180,,,,N,0,
'11000012,SEA BASS 700-800G.,ปลากระพงขาว 700-800 ก.,KG,,,185,,,,N,0,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,195,,,,N,0,
'17010003,ขาหมูเยรมันยี่ห้อซีพีคุโรบุตะ 700ก./ชิ้น,ขาหมูเยอรมันยี่ห้อซีพีคุโรบุตะ 700ก./ชิ้น,PCS,,,195,,,,N,0,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,200,,,,N,0,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,200,,,,N,0,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,210,,,,N,0,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,210,,,,N,0,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,210,,,,N,0,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,210,,,,N,0,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,230,,,,N,0,
'10050046,PORK MEAT BALLS(HAMPRANG),ลูกชิ้นหมูฮัมเพล้ง,KG,,,230,,,,N,0,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,,230,,,,N,0,
'11010014,PRAWN WHITE  MEDIUM 45-50 PCS,กุ้งขาวกลาง 45-50 ตัว/กก.,KG,,,230,,,,N,0,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,265,,,,N,0,
'17030001,SKINED DUCK MEAT BB2 1 KG.,อกเป็ดเนื้อติดหนัง BB2 1 กก.,KG,,,265,,,,N,0,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,,280,,,,N,0,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,300,,,,N,0,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,310,,,,N,0,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,,310,,,,N,0,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,,310,,,,N,0,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,320,,,,N,0,
'16000006,FISH NUGGET (1x24 PCS),นักเกตปลา(1x24 ชิ้น),BAG,,,320,,,,N,0,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,350,,,,N,0,
'17010001,หมูปิ้งนมสดแช่แข็ง 25ก.(1x40)/(866771),หมูปิ้งนมสดแช่แข็ง 25ก.(1x40)/(866771),PACK,,,350,,,,N,0,
'17010002,FROZEN MARINATED PORK SKEWERS 45G.(1x20)/(861654),หมูปิ้งนมสดแช่แข็ง 45ก.(1x20)/(861654),PACK,,,350,,,,N,0,
'17020006,NEW ORLEANS CHICKEN MID WING ARO 1KG.(816698),ไก่นิวออร์ลีนส์ปีกกลางแช่แข็ง เอโร่ 1 กก.(816698),KG,,,350,,,,N,0,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,620,,,,N,0,
