SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#
'15010009,BUSH COLOR ORANGE YELLOW 100G.,BUSH COLOR ORANGE YELLOW 100G.,BAG,,,100,,,,A,7,
'15010059,YELLOW MUSTARD SEEDS 200G.(175477),เมล็ดมัสตาร์ดเหลือง 200ก.(175477),BAG,,,100,,,,A,7,
'15010114,GITS IDLI MIX POWDER  500G./PACK,GITS IDLI MIX POWDER  500G./PACK,PACK,,,100,,,,A,7,
'15010118,HAR DAL 500G.,HAR DAL 500G.,BAG,,,100,,,,A,7,
'15010144,PEA DAL CHICK KABULI ALPINE 500G.(106379),ถั่วลูกไก่อินเดียอัพไพน์ 500ก.(106379),BAG,,,100,,,,A,7,
'15010169,WHITE CHICKPEAS (CHANNA) 500 G./PACK(106375),WHITE CHICKPEAS(CHANNA)500G./PACK(106375),BAG,,,100,,,,A,7,
'15010174,เมล็ดมัสตาร์ดดำ 200 ก. (175476),เมล็ดมัสตาร์ดดำ 200ก.(175476),BAG,,,100,,,,A,7,
'15130065,TEJ PATTA  100 G./PACK,TEJ PATTA  100 G./PACK,PACK,,,100,,,,A,7,
'15010006,BEAN BLACK ,ถั่วดำ,KG,,,120,,,,A,7,
'15010028,GREEN BEAN,ถั่วเขียว,KG,,,120,,,,A,7,
'15010038,MUSTARD SEEDS 500 G. (6IP465038),เม็ดมัสตาร์ด 500ก.(6IP465038),BAG,,,120,,,,A,7,
'15010075,RED BEAN  BIG,ถั่วแดงหลวง,KG,,,120,,,,A,7,
'15010161,TAMARIND,มะขามเปียกแกะเม็ด,KG,,,120,,,,A,7,
'15060030,SAMBAR MASALA 200G.,มาซาลาผง-SAMBAR 200G.,BOX,,,120,,,,A,7,
'15120045,KEWRA WATER 200ML.,KEWRA WATER 200ML.,BOX,,,120,,,,A,7,
'15120047,ROSE WATER / BOTTLE,ROSE WATER /BOTTLE,BTL,,,120,,,,A,7,
'15130002,ASFOTIDA Hing 50G.,ASFOTIDA Hing 50G.,BTL,,,120,,,,A,7,
'15010086,AJWAIN SEEDS 500G.(102339),AJWAIN SEEDS 500G.(102339),BAG,,,200,,,,A,7,
'15010095,BROWN LENTILS 1KG.,BROWN LENTILS 1KG.,BAG,,,200,,,,A,7,
